,Website,Rank,Movie,Rating,Review,Genre
0,imdb,1,The Shawshank Redemption,9.2,"two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",['Drama']
1,imdb,2,The Godfather,9.1,the aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,"['Crime', 'Drama']"
2,imdb,3,The Godfather: Part II,9.0,"the early life and career of vito corleone in 1920s new york city is portrayed, while his son, michael, expands and tightens his grip on the family crime syndicate.","['Crime', 'Drama']"
3,imdb,4,The Dark Knight,9.0,"when the menace known as the joker wreaks havoc and chaos on the people of gotham, batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","['Action', 'Crime', 'Drama', 'Thriller']"
4,imdb,5,12 Angry Men,8.9,a jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,"['Crime', 'Drama']"
5,imdb,6,Schindler's List,8.9,"in german-occupied poland during world war ii, industrialist","['Biography', 'Drama', 'History']"
6,imdb,7,The Lord of the Rings: The Return of the King,8.9,gandalf and aragorn lead the world of men against sauron's army to draw his gaze from frodo and sam as they approach mount doom with the one ring.,"['Action', 'Adventure', 'Drama', 'Fantasy']"
7,imdb,8,Pulp Fiction,8.8,"the lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","['Crime', 'Drama']"
8,imdb,9,"The Good, the Bad and the Ugly",8.8,a bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,['Western']
9,imdb,1, The Lord of the Rings: The Fellowship of the Ring,8.8,a meek hobbit from the shire and eight companions set out on a journey to destroy the powerful one ring and save middle-earth from the dark lord sauron.,"['Action', 'Adventure', 'Drama', 'Fantasy']"
10,imdb,11,Fight Club,8.8,"an insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",['Drama']
11,imdb,12,Forrest Gump,8.8,"the presidencies of kennedy and johnson, the events of vietnam, watergate and other historical events unfold through the perspective of an alabama man with an iq of 75, whose only desire is to be reunited with his childhood sweetheart.","['Drama', 'Romance']"
12,imdb,13,Inception,8.7,a thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a c.e.o.,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
13,imdb,14,The Lord of the Rings: The Two Towers,8.7,"while frodo and sam edge closer to mordor with the help of the shifty gollum, the divided fellowship makes a stand against sauron's new ally, saruman, and his hordes of isengard.","['Action', 'Adventure', 'Drama', 'Fantasy']"
